,date,week,year,seasonNumber,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,awayQB,homeQB,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,over/under
198,December 10,15,1978,59,Atlanta Falcons,Washington Redskins,Leeman Bennett,Jack Pardee,9-6,8-7,outdoors,grass,Atlanta Falcons -3.5,Joe Theismann,Steve Bartkowski,15,17,34-146-2,34-113-2,13-34-200-0-0,16-37-190-0-0,4-35,5-50,165,140,311,253,2-2,1-0,2,0,6-52,7-65,
199,December 10,15,1978,59,New England Patriots,Buffalo Bills,Chuck Fairbanks,Chuck Knox,11-4,4-11,outdoors,astroturf,New England Patriots -11.5,Joe Ferguson,Steve Grogan,16,24,35-184-2,51-249-3,9-24-133-1-1,13-21-160-0-0,1-10,1-6,123,154,307,403,2-1,4-3,2,3,3-40,2-15,
200,December 10,15,1978,59,New York Giants,St. Louis Cardinals,John McVay,Bud Wilkinson,6-9,5-10,outdoors,astroturf,St. Louis Cardinals -2.5,Jim Hart,Randy Dean,17,14,33-143-0,51-231-1,15-38-198-0-1,8-14-24-1-1,0-0,0-0,198,24,341,255,4-4,1-1,5,2,8-65,2-15,
201,December 10,15,1978,59,Philadelphia Eagles,Dallas Cowboys,Dick Vermeil,Tom Landry,8-7,11-4,outdoors,astroturf,Dallas Cowboys -4.5,Roger Staubach,Ron Jaworski,17,11,41-146-2,28-139-2,13-20-190-2-0,9-26-151-0-2,2-21,8-66,169,85,315,224,4-0,4-3,0,5,3-15,7-65,
202,December 10,15,1978,59,Cleveland Browns,New York Jets,Sam Rutigliano,Walt Michaels,8-7,8-7,outdoors,grass,Pick,Matt Robinson,Brian Sipe,20,29,21-103-1,46-236-2,22-44-289-3-4,20-32-283-2-1,3-23,0-0,266,283,369,519,1-1,6-4,5,5,5-45,3-28,
203,December 10,15,1978,59,Chicago Bears,Green Bay Packers,Neill Armstrong,Bart Starr,6-9,8-6-1,outdoors,astroturf,Green Bay Packers -1.5,David Whitehurst,Mike Phipps,11,17,27-78-0,47-174-1,8-25-126-0-1,9-19-131-1-1,4-43,1-12,83,119,161,293,2-2,1-0,3,1,4-28,8-87,
204,December 10,15,1978,59,New Orleans Saints,Houston Oilers,Dick Nolan,Bum Phillips,6-9,10-5,dome,astroturf,Houston Oilers -3.0,Dan Pastorini,Archie Manning,16,18,43-125-1,19-56-0,12-18-137-1-0,25-37-251-1-1,2-18,2-10,119,241,244,297,2-0,1-0,0,1,4-44,8-90,
205,December 10,15,1978,59,Miami Dolphins,Oakland Raiders,Don Shula,John Madden,10-5,8-7,outdoors,grass,Miami Dolphins -6.0,Ken Stabler,Bob Griese,21,13,30-85-0,29-97-1,24-38-263-1-5,14-26-163-0-2,3-29,0-0,234,163,319,260,3-2,2-1,7,3,4-30,4-35,
206,December 10,15,1978,59,San Francisco 49ers,Tampa Bay Buccaneers,John McKay,,2-13,5-10,outdoors,astroturf,San Francisco 49ers -3.5,Mike Rae,Scott Bull,13,17,28-113-0,32-90-0,13-27-140-0-1,21-32-187-0-4,6-57,5-38,83,149,196,239,4-2,6-2,3,6,8-45,7-62,
207,December 10,15,1978,59,San Diego Chargers,Seattle Seahawks,Jack Patera,,8-7,8-7,outdoors,grass,San Diego Chargers -3.0,Jim Zorn,Dan Fouts,17,20,28-136-0,29-95-1,14-33-150-1-2,23-34-295-3-1,6-47,1-9,103,286,239,381,3-1,0-0,3,1,5-70,5-35,
