,date,week,year,seasonNumber,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,awayQB,homeQB,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,vegas line,over/under
178,December 21,14,1975,56,Houston Oilers,Cleveland Browns,Bum Phillips,Forrest Gregg,10-4,3-11,dome,astroturf,Mike Phipps,Dan Pastorini,22,21,27-96-1,44-166-2,24-43-213-0-2,11-23-166-1-2,4-34,1-10,179,156,275,322,2-0,3-0,2,2,9-68,9-68,,
179,December 21,14,1975,56,Green Bay Packers,Atlanta Falcons,Bart Starr,Marion Campbell,4-10,4-10,outdoors,grass,Steve Bartkowski,John Hadl,14,20,26-124-1,46-169-2,13-37-219-1-2,16-33-181-0-1,3-41,3-19,178,162,302,331,4-3,3-3,5,4,2-20,2-10,,
180,December 21,14,1975,56,San Francisco 49ers,New York Giants,Dick Nolan,Bill Arnsparger,5-9,5-9,outdoors,astroturf,Craig Morton,Tom Owen,23,20,45-175-3,33-181-2,16-30-168-1-0,14-30-194-1-1,2-15,3-25,153,169,328,350,5-1,1-0,1,1,4-35,9-64,,
181,December 21,14,1975,56,Oakland Raiders,Kansas City Chiefs,John Madden,Paul Wiggin,11-3,5-9,outdoors,grass,Tony Adams,Ken Stabler,23,24,33-117-1,44-246-3,18-32-245-1-3,14-19-149-1-1,2-16,3-8,229,141,346,387,1-1,1-0,4,1,3-10,7-71,,
182,December 27,Division,1975,56,Pittsburgh Steelers,Baltimore Colts,Chuck Noll,Ted Marchibroda,13-2,10-5,outdoors,astroturf,Marty Domres,Terry Bradshaw,10,16,41-82-0,43-211-3,8-22-100-1-2,8-13-103-0-2,5-28,3-27,72,76,154,287,2-1,3-3,3,5,6-53,5-45,Pittsburgh Steelers -10.5,
183,December 27,Division,1975,56,Los Angeles Rams,St. Louis Cardinals,Chuck Knox,Don Coryell,13-2,11-4,outdoors,grass,Jim Hart,Ron Jaworski,22,26,27-95-2,50-237-1,22-41-291-1-3,12-23-203-1-0,2-23,0-0,268,203,363,440,3-2,5-3,5,3,6-70,5-38,Los Angeles Rams -6.5,
184,December 28,Division,1975,56,Minnesota Vikings,Dallas Cowboys,Bud Grant,Tom Landry,12-3,11-4,outdoors,grass,Roger Staubach,Fran Tarkenton,19,12,42-131-1,27-115-2,17-29-246-1-0,12-26-135-0-1,5-21,4-35,225,100,356,215,4-1,2-0,1,1,4-30,7-69,Minnesota Vikings -8.0,
185,December 28,Division,1975,56,Oakland Raiders,Cincinnati Bengals,John Madden,Paul Brown,12-3,11-4,outdoors,grass,Ken Anderson,Ken Stabler,17,27,25-97-2,51-173-1,17-27-201-2-0,17-23-199-3-1,5-40,1-14,161,185,258,358,1-0,1-1,0,2,5-37,7-64,Oakland Raiders -6.5,
186,January 4,ConfChamp,1976,56,Pittsburgh Steelers,Oakland Raiders,Chuck Noll,John Madden,14-2,12-4,outdoors,astroturf,Ken Stabler,Terry Bradshaw,18,16,32-93-0,39-117-1,18-42-246-1-2,15-25-215-1-3,2-18,0-0,228,215,321,332,4-3,4-4,5,7,4-40,3-32,Pittsburgh Steelers -6.5,
187,January 4,ConfChamp,1976,56,Los Angeles Rams,Dallas Cowboys,Chuck Knox,Tom Landry,13-3,12-4,outdoors,grass,Roger Staubach,Ron Jaworski,24,9,50-195-0,16-22-1,18-28-246-4-1,11-24-147-0-3,0-0,5-51,246,96,441,118,1-0,1-0,1,3,5-59,4-25,Los Angeles Rams -6.5,
188,January 18,SuperBowl,1976,56,Pittsburgh Steelers,Dallas Cowboys,Tom Landry,Chuck Noll,12-5,15-2,outdoors,astroturf,Roger Staubach,Terry Bradshaw,13,14,46-149-0,31-108-0,9-19-209-2-0,15-24-204-2-3,2-19,7-42,190,162,339,270,4-0,4-0,0,3,0-0,2-20,Pittsburgh Steelers -7.0,36.0 (over)
