,year,date,week,home,away,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,awayQB,homeQB,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,vegas line,over/under
44,1977,October 9,4,New York Giants,Philadelphia Eagles,John McVay,Dick Vermeil,1-3,2-2,outdoors,astroturf,Ron Jaworski,Joe Pisarcik,14,15,43-179-2,32-94-0,8-17-162-2-1,12-38-193-1-4,2-15,4-28,147,165,326,259,5-3,1-0,4,4,2-48,3-25,,
45,1977,October 9,4,Buffalo Bills,New York Jets,Jim Ringo,Walt Michaels,0-4,2-2,outdoors,astroturf,Richard Todd,Joe Ferguson,17,21,44-172-2,37-172-0,10-15-194-1-0,18-33-205-2-1,0-0,1-6,194,199,366,371,4-3,1-1,3,2,5-45,2-15,,
46,1977,October 9,4,Baltimore Colts,Miami Dolphins,Ted Marchibroda,Don Shula,4-0,3-1,outdoors,grass,Bob Griese,Bert Jones,16,19,29-182-3,35-207-2,18-34-264-0-2,18-30-205-4-0,5-51,1-15,213,190,395,397,4-2,1-1,4,1,5-46,2-15,,
47,1977,October 9,4,Houston Oilers,Pittsburgh Steelers,Bum Phillips,Chuck Noll,3-1,2-2,dome,astroturf,Terry Bradshaw,Dan Pastorini,21,15,45-178-1,29-98-0,12-33-211-0-6,13-24-184-2-2,0-0,1-15,211,169,389,267,5-3,0-0,9,2,10-67,7-57,,
48,1977,October 9,4,Green Bay Packers,Cincinnati Bengals,Bart Starr,Bill Johnson,1-3,2-2,outdoors,grass,Ken Anderson,Lynn Dickey,21,15,42-159-1,37-112-0,15-20-190-1-1,13-25-115-1-2,3-16,0-0,174,115,333,227,1-1,0-0,2,2,9-85,7-60,,
49,1977,October 9,4,Minnesota Vikings,Detroit Lions,Bud Grant,Tommy Hudspeth,3-1,2-2,outdoors,grass,Greg Landry,Fran Tarkenton,19,13,27-59-0,27-58-0,26-47-255-1-1,21-31-269-2-0,3-33,1-13,222,256,281,314,1-0,4-3,1,3,8-70,6-48,,
50,1977,October 9,4,New Orleans Saints,San Diego Chargers,Hank Stram,Tommy Prothro,1-3,3-1,dome,astroturf,James Harris,Archie Manning,14,18,31-132-1,36-157-0,11-21-137-0-0,16-26-124-0-1,0-0,8-81,137,43,269,200,2-2,2-1,2,2,7-50,6-46,,
51,1977,October 9,4,St. Louis Cardinals,Dallas Cowboys,Don Coryell,Tom Landry,1-3,4-0,outdoors,astroturf,Roger Staubach,Jim Hart,22,15,39-264-2,31-146-1,18-29-153-1-0,10-34-195-1-2,3-29,2-21,124,174,388,320,3-2,0-0,2,2,9-109,11-166,,
52,1977,October 9,4,Denver Broncos,Kansas City Chiefs,Red Miller,Paul Wiggin,4-0,0-4,outdoors,grass,Tony Adams,Craig Morton,14,16,29-86-1,39-124-2,15-27-132-0-4,18-30-219-0-0,6-52,3-31,80,188,166,312,3-2,3-2,6,2,6-55,9-107,,
53,1977,October 9,4,Tampa Bay Buccaneers,Washington Redskins,John McKay,George Allen,0-4,3-1,outdoors,grass,Billy Kilmer,Gary Huff,14,11,47-121-1,26-97-0,11-22-134-0-1,10-28-138-0-3,2-16,10-99,118,39,239,136,5-2,4-2,3,5,7-61,7-37,,
54,1977,October 9,4,San Francisco 49ers,Atlanta Falcons,Ken Meyer,Leeman Bennett,0-4,3-1,outdoors,astroturf,Scott Hunter,Scott Bull,11,12,44-113-0,39-153-0,9-14-137-1-0,5-18-70-0-1,1-7,4-35,130,35,243,188,0-0,3-0,0,1,14-110,7-64,,
55,1977,October 10,4,Chicago Bears,Los Angeles Rams,Jack Pardee,Chuck Knox,2-2,2-2,outdoors,astroturf,Joe Namath,Bob Avellini,22,14,40-177-1,46-200-0,19-46-258-1-4,12-18-231-3-1,2-19,0-0,239,231,416,431,1-0,3-3,4,4,8-70,15-144,,
56,1977,October 16,5,Philadelphia Eagles,St. Louis Cardinals,Dick Vermeil,Don Coryell,2-3,2-3,outdoors,astroturf,Jim Hart,Ron Jaworski,16,14,41-128-2,23-96-0,17-25-209-1-0,17-38-264-2-3,0-0,1-6,209,258,337,354,1-1,1-1,1,4,7-57,9-77,,
57,1977,October 16,5,Buffalo Bills,Atlanta Falcons,Jim Ringo,Leeman Bennett,1-4,3-2,outdoors,astroturf,Scott Hunter,Joe Ferguson,15,15,39-114-0,45-218-0,9-30-95-0-2,8-21-96-0-0,1-9,0-0,86,96,200,314,0-0,3-2,2,2,6-65,6-73,,
58,1977,October 16,5,Kansas City Chiefs,Baltimore Colts,Paul Wiggin,Ted Marchibroda,0-5,5-0,outdoors,astroturf,Bert Jones,Mike Livingston,16,13,45-161-2,31-102-1,11-20-90-0-0,11-23-146-0-2,1-10,4-29,80,117,241,219,2-1,3-2,1,4,7-60,3-35,,
59,1977,October 16,5,New York Giants,San Francisco 49ers,John McVay,Ken Meyer,2-3,0-5,outdoors,astroturf,Jim Plunkett,Joe Pisarcik,16,9,39-92-1,41-131-1,15-22-224-1-1,2-6-47-1-0,4-41,2-24,183,23,275,154,4-2,1-1,3,1,7-67,6-45,,
60,1977,October 16,5,Houston Oilers,Cleveland Browns,Bum Phillips,Forrest Gregg,3-2,3-2,dome,astroturf,Brian Sipe,Dan Pastorini,11,18,31-109-1,37-109-1,9-20-71-1-1,14-29-148-0-2,1-10,2-29,61,119,170,228,1-1,4-1,2,3,11-65,7-76,,
61,1977,October 16,5,Minnesota Vikings,Chicago Bears,Bud Grant,Jack Pardee,4-1,2-3,outdoors,grass,Bob Avellini,Fran Tarkenton,17,22,44-170-0,41-195-1,14-22-155-2-0,17-31-212-1-1,3-22,2-11,133,201,303,396,2-2,1-1,2,2,5-41,6-60,,
62,1977,October 16,5,Detroit Lions,Green Bay Packers,Tommy Hudspeth,Bart Starr,3-2,1-4,dome,astroturf,Lynn Dickey,Greg Landry,11,17,29-67-0,38-133-0,11-25-127-0-4,18-26-155-1-0,5-45,3-26,82,129,149,262,4-2,2-2,6,2,6-40,8-55,,
