,date,week,year,seasonNumber,home,away,homeScore,awayScore,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,awayQB,homeQB,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,vegas line,over/under
56,October 10,5,1976,57,New York Jets,Buffalo Bills,17,14,Lou Holtz,Lou Saban,1-4,2-3,outdoors,grass,Joe Ferguson,Richard Todd,11,20,33-125-1,51-207-1,11-24-104-0-1,7-22-79-1-1,3-24,3-16,80,63,205,270,6-4,3-3,5,4,5-49,6-55,,
57,October 10,5,1976,57,Cleveland Browns,Pittsburgh Steelers,18,16,Forrest Gregg,Chuck Noll,2-3,1-4,outdoors,grass,Terry Bradshaw,Brian Sipe,13,15,25-111-2,48-147-1,13-23-134-0-1,10-25-179-0-0,4-49,1-0,85,179,196,326,2-2,4-2,3,2,8-63,10-84,,
58,October 10,5,1976,57,New York Giants,Dallas Cowboys,14,24,Bill Arnsparger,Tom Landry,0-5,5-0,outdoors,astroturf,Roger Staubach,Craig Morton,18,18,42-163-2,33-138-1,13-15-178-1-0,12-16-190-1-1,2-10,5-37,168,153,331,291,1-0,2-0,0,1,5-55,5-49,,
59,October 10,5,1976,57,Cincinnati Bengals,Tampa Bay Buccaneers,21,0,Bill Johnson,John McKay,4-1,0-5,outdoors,astroturf,Steve Spurrier,Ken Anderson,12,17,33-114-0,39-188-1,12-23-122-0-2,10-15-98-1-0,4-36,2-9,86,89,200,277,3-1,4-3,3,3,7-54,5-37,,
60,October 10,5,1976,57,Detroit Lions,New England Patriots,30,10,Chuck Fairbanks,,2-3,3-2,dome,astroturf,Steve Grogan,Greg Landry,10,20,22-96-0,48-196-1,11-25-131-1-5,15-18-146-3-0,4-28,2-13,103,133,199,329,0-0,1-0,5,0,7-48,7-37,,
61,October 10,5,1976,57,Washington Redskins,Kansas City Chiefs,30,33,George Allen,Paul Wiggin,3-2,1-4,outdoors,grass,Mike Livingston,Joe Theismann,20,26,39-119-1,39-174-2,15-29-332-2-0,20-38-270-2-2,1-8,1-6,324,264,443,438,0-0,3-2,0,4,9-59,6-62,,
62,October 10,5,1976,57,St. Louis Cardinals,Philadelphia Eagles,33,14,Don Coryell,Dick Vermeil,4-1,2-3,outdoors,astroturf,John Walton,Jim Hart,14,29,24-58-1,59-198-4,12-24-123-1-2,13-17-191-1-0,1-6,1-5,117,186,175,384,3-2,2-1,4,1,11-90,15-139,,
63,October 10,5,1976,57,New Orleans Saints,Atlanta Falcons,30,0,Hank Stram,Marion Campbell,2-3,1-4,dome,astroturf,Kim McQuilken,Bobby Scott,12,20,29-100-0,39-144-2,11-31-117-0-2,19-31-182-1-1,5-49,3-14,68,168,168,312,6-5,2-1,7,2,9-59,9-70,,
64,October 10,5,1976,57,Green Bay Packers,Seattle Seahawks,27,20,Bart Starr,Jack Patera,2-3,0-5,outdoors,grass,Jim Zorn,Lynn Dickey,17,24,23-58-1,44-187-3,18-33-202-0-1,16-24-215-1-2,4-33,3-22,169,193,227,380,1-1,2-1,2,3,7-69,10-74,,
65,October 10,5,1976,57,Houston Oilers,Denver Broncos,17,3,Bum Phillips,John Ralston,4-1,3-2,dome,astroturf,Steve Ramsey,Dan Pastorini,8,18,26-87-0,31-95-2,6-23-95-0-1,24-40-217-0-0,6-28,0-0,67,217,154,312,0-0,0-0,1,0,2-10,6-40,,
66,October 10,5,1976,57,Minnesota Vikings,Chicago Bears,20,19,Bud Grant,Jack Pardee,4-0-1,3-2,outdoors,grass,Bob Avellini,Fran Tarkenton,19,16,40-235-3,40-111-2,13-20-116-0-1,18-30-210-0-0,2-22,4-34,94,176,329,287,3-1,3-2,2,2,11-90,7-67,,
67,October 10,5,1976,57,Baltimore Colts,Miami Dolphins,28,14,Ted Marchibroda,Don Shula,4-1,2-3,outdoors,grass,Earl Morrall,Bert Jones,14,22,28-88-1,49-169-3,13-31-209-1-1,11-14-177-1-0,3-29,2-14,180,163,268,332,1-1,3-1,2,1,4-54,8-56,,
68,October 10,5,1976,57,San Diego Chargers,Oakland Raiders,17,27,Tommy Prothro,John Madden,3-2,4-1,outdoors,grass,Ken Stabler,Dan Fouts,22,22,38-153-1,38-154-1,20-26-339-3-1,16-31-249-0-1,1-16,3-20,323,229,476,383,1-0,1-0,1,1,9-64,3-20,,
69,October 11,5,1976,57,Los Angeles Rams,San Francisco 49ers,0,16,Chuck Knox,Monte Clark,3-1-1,4-1,outdoors,grass,Jim Plunkett,James Harris,15,13,37-108-0,28-92-0,11-21-183-2-2,16-27-201-0-0,2-21,10-97,162,104,270,196,2-0,4-3,2,3,4-35,7-65,,
70,October 17,6,1976,57,Pittsburgh Steelers,Cincinnati Bengals,23,6,Chuck Noll,Bill Johnson,2-4,4-2,outdoors,astroturf,Ken Anderson,Mike Kruczek,11,16,24-75-0,55-201-2,13-31-129-0-2,5-12-58-0-1,5-33,1-6,96,52,171,253,2-1,1-1,3,2,6-40,9-45,,
71,October 17,6,1976,57,Washington Redskins,Detroit Lions,20,7,George Allen,,4-2,2-4,outdoors,grass,Greg Landry,Joe Theismann,13,14,34-103-0,40-109-1,11-28-201-1-2,9-20-129-1-1,5-57,3-31,144,98,247,207,3-1,2-1,3,2,10-105,5-41,,
72,October 17,6,1976,57,Miami Dolphins,Kansas City Chiefs,17,20,Don Shula,Paul Wiggin,2-4,2-4,outdoors,grass,Mike Livingston,Bob Griese,21,27,39-186-2,37-179-1,20-33-267-0-1,25-35-306-1-2,0-0,4-44,267,262,453,441,2-1,3-3,2,5,10-85,7-50,,
73,October 17,6,1976,57,Buffalo Bills,Baltimore Colts,13,31,Ted Marchibroda,,2-4,5-1,outdoors,astroturf,Bert Jones,Joe Ferguson,24,17,40-213-2,32-145-0,13-22-207-2-0,13-28-239-1-0,1-5,5-40,202,199,415,344,2-2,3-2,2,2,5-50,14-106,,
74,October 17,6,1976,57,Atlanta Falcons,Cleveland Browns,17,20,Forrest Gregg,,1-5,3-3,outdoors,grass,Brian Sipe,Kim McQuilken,23,13,57-321-3,26-89-1,12-18-134-0-2,15-28-180-1-1,2-23,1-11,111,169,432,258,4-1,0-0,3,1,6-59,4-22,,
75,October 17,6,1976,57,Tampa Bay Buccaneers,Seattle Seahawks,10,13,John McKay,Jack Patera,0-6,1-5,outdoors,grass,Jim Zorn,Steve Spurrier,14,18,29-90-0,33-145-0,12-29-173-1-1,19-31-171-1-0,1-10,4-31,163,140,253,285,1-1,2-1,2,1,15-120,20-190,,
76,October 17,6,1976,57,Green Bay Packers,Philadelphia Eagles,28,13,Bart Starr,Dick Vermeil,3-3,2-4,outdoors,grass,Mike Boryla,Lynn Dickey,16,17,33-96-1,40-130-2,19-32-172-0-0,12-20-226-2-1,4-29,0-0,143,226,239,356,1-1,1-1,1,2,4-40,4-20,,
77,October 17,6,1976,57,Minnesota Vikings,New York Giants,24,7,Bud Grant,Bill Arnsparger,5-0-1,0-6,outdoors,grass,Norm Snead,Fran Tarkenton,12,23,28-87-1,40-109-0,15-24-149-0-2,21-30-288-2-1,4-27,3-36,122,252,209,361,2-1,4-2,3,3,3-35,7-37,,
78,October 17,6,1976,57,San Francisco 49ers,New Orleans Saints,33,3,Monte Clark,Hank Stram,5-1,2-4,outdoors,astroturf,Bobby Douglass,Jim Plunkett,9,18,25-95-0,45-133-1,7-19-51-0-1,11-17-208-2-0,7-51,3-32,0,176,95,309,3-2,3-2,3,2,10-80,9-66,,
