,date,week,year,seasonNumber,home,away,homeScore,awayScore,homeCoach,awayCoach,homeRecord,awayRecord,roof,surface,vegas line,over/under,homeQB,homeRB,homeWR,homeTE,homeLT,homeLG,homeC,homeRG,homeRT,homeLDE,homeUT,homeNT,homeRDE,homeSLB,homeMLB,homeWLB,homeLCB,homeRCB,homeSS,homeFS,awayQB,awayRB,awayWR,awayTE,awayLT,awayLG,awayC,awayRG,awayRT,awayLDE,awayLDT,awayRDT,awayRDE,awaySLB,awayMLB,awayWLB,awayLCB,awayRCB,awaySS,awayFS,away First Downs,home First Downs,away Rush-Yds-TDs,home Rush-Yds-TDs,away Cmp-Att-Yd-TD-INT,home Cmp-Att-Yd-TD-INT,away Sacked-Yards,home Sacked-Yards,away Net Pass Yards,home Net Pass Yards,away Total Yards,home Total Yards,away Fumbles-Lost,home Fumbles-Lost,away Turnovers,home Turnovers,away Penalties-Yards,home Penalties-Yards,away Third Down Conv.,home Third Down Conv.,away Fourth Down Conv.,home Fourth Down Conv.,away Time of Possession,home Time of Possession,awayDB,awayDE,awayLLB,awayRLB,homeFB,homeFL,homeLDT,homeLLB,homeRDT,homeRLB,awayDT,awayFB,awayLB,awayS,homeDE,homeHB,homeLC,homeLILB,homeLOLB,homeRC,homeRILB,homeROLB,homeSE,awayCB,homeDB,awayNT,homeCB,homeOLB,awayWILB,awayILB,awayOLB,homeDT,homeILB,awayLILB,awayLOLB,awayRILB,awayROLB,awayG,awayT,homeSILB,homeSOLB,homeWILB,homeWOLB,homeG,homeT,awayHB,homeLB,homeLS,homeRS,awayDL,awayLC,awayRC,awayD,awaySILB,awaySOLB,homeXR,homeZR,awayUT,homeDL,awaySAM,awayWILL,awayLS,awayRS,homeM,awayWOLB,homeS,awayB,awayZ,awayWIL,homeSAM,homeWIL,homeOT,awayFL,awaySE,homeNG,awayOT,homeOL,homeWILL,awayOG,awayOL
198,December 3,14,2000,81,San Diego Chargers,San Francisco 49ers,17,45,Mike Riley,Steve Mariucci,1-12,5-8,outdoors,grass,San Francisco 49ers -2.5,44.0 (over),Ryan Leaf,Terrell Fletcher,Jeff Graham,Freddie Jones,Ben Coleman,Raleigh Roundtree,Roman Fortin,Kevin Gogan,Vaughn Parker,Albert Fontenot,,,Darren Mickell,Gerald Dixon,,Junior Seau,Fakhir Brown,DeRon Jenkins,Rodney Harrison,Mike Dumas,Jeff Garcia,,Terrell Owens,Greg Clark,,Ray Brown,Jeremy Newberry,Dave Fiore,Scott Gragg,Anthony Pleasant,Bryant Young,Brentson Buckner,John Engelberger,,,,Ahmed Plummer,Jason Webster,Lance Schulters,Zack Bronson,19,18,28-73-2,13-49-1,19-33-319-2-0,24-47-266-1-4,2-7,2-12,312,254,385,303,0-0,1-1,0,5,8-60,8-68,6-14,2-11,0-1,0-1,33:48,26:12,,,,,Fred McCrary,,Jamal Williams,,John Parrella,,,Fred Beasley,,,,,,,,,,,,,,,Darryll Lewis,,,,,,,Ken Norton Jr.,Julian Peterson,Winfred Tubbs,,,Derrick Deese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,December 3,14,2000,81,New York Jets,Indianapolis Colts,27,17,Al Groh,Jim Mora,9-4,7-6,outdoors,grass,New York Jets -2.5,44.0 (push),Vinny Testaverde,Curtis Martin,Dedric Ward,Anthony Becht,Jason Fabini,Kerry Jenkins,Kevin Mawae,Randy Thomas,Ryan Young,Rick Lyle,,Ernie Logan,Shane Burton,,,,Aaron Glenn,Marcus Coleman,Victor Green,Chris Hayes,Peyton Manning,Edgerrin James,Marvin Harrison,Marcus Pollard,Tarik Glenn,Steve McKinney,Jeff Saturday,Larry Moore,Adam Meadows,Bernard Holsey,Bernard Whittington,Ellis Johnson,Chad Bratzke,,Dwight Hollier,,Jeff Burris,Tyrone Poole,Chad Cota,Jason Belser,21,26,12-49-0,39-211-1,27-51-339-2-2,26-41-295-2-1,3-13,2-15,326,280,375,491,2-1,0-0,3,1,2-20,4-54,6-14,9-17,2-2,0-0,18:35,41:25,,,Cornelius Bennett,Mike Peterson,Richie Anderson,,,,,,,,,,,,,Bryan Cox,Mo Lewis,,Marvin Jones,,,,,,,,,,,,,,,,,,,,,,,,,,Roman Phifer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,December 3,14,2000,81,Jacksonville Jaguars,Cleveland Browns,48,0,Tom Coughlin,Chris Palmer,6-7,3-11,outdoors,grass,Jacksonville Jaguars -14.5,39.0 (over),Mark Brunell,Fred Taylor,Keenan McCardell,Kyle Brady,Tony Boselli,Brad Meester,Jeff Smith,Brendan Stai,Todd Fordham,,,,Tony Brackens,,,Kevin Hardy,Fernando Bryant,Aaron Beasley,Donovin Darius,Rayna Stewart,Spergon Wynn,Travis Prentice,David Patten,Mark Campbell,Roman Oben,Steve Zahursky,Shaun O'Hara,Everett Lindsay,James Brown,Courtney Brown,Orpheus Roye,Stalin Colinet,Keith McKenzie,Jamir Miller,Wali Rainer,Marty Moore,Corey Fuller,Daylon McCutcheon,Marquis Smith,Percy Ellsworth,2,28,18-62-0,47-244-5,7-18-33-0-0,16-33-218-1-0,6-42,2-13,-9,205,53,449,2-1,0-0,1,0,9-85,9-59,0-12,10-18,0-0,1-1,22:49,37:11,,,,,Daimon Shelton,,,,Seth Payne,,,Marc Edwards,,,Renaldo Wynn,,,,,,,,,,,,,,,,,Gary Walker,,,,,,,,,,,,,,,Brant Boyer,,,,,,,,,,,,,,,,,,,Mike Logan,,,,,,,,,,,,,,
201,December 3,14,2000,81,Chicago Bears,Green Bay Packers,6,28,Dick Jauron,Mike Sherman,3-10,6-7,outdoors,grass,Green Bay Packers -2.5,39.0 (under),Shane Matthews,Curtis Enis,Marty Booker,Kaseem Sinceno,Blake Brockermeyer,Todd Perry,Casey Wiegmann,Chris Villarrial,James Williams,Bryan Robinson,,,Phillip Daniels,Rosevelt Colvin,Brian Urlacher,Sean Harris,Jerry Azumah,Thomas Smith,Tony Parrish,Mike Brown,Brett Favre,Ahman Green,Antonio Freeman,Bubba Franks,Chad Clifton,Ross Verba,Frank Winters,Marco Rivera,Mark Tauscher,Vonnie Holliday,,,John Thierry,K.D. Williams,Bernardo Harris,Nate Wayne,Mike McKenzie,Tyrone Williams,LeRoy Butler,Darren Sharper,17,17,28-81-2,23-104-0,19-31-225-1-0,22-44-233-0-2,1-2,1-7,223,226,304,330,0-0,0-0,0,2,5-42,5-41,8-16,4-15,0-0,1-3,30:13,29:47,,,,,,,Jim Flanigan,,Mike Wells,,Cletidus Hunt,William Henderson,,,,,,,,,,,,,,Russell Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,December 4,14,2000,81,New England Patriots,Kansas City Chiefs,30,24,Bill Belichick,Gunther Cunningham,4-9,5-8,outdoors,grass,New England Patriots -1.0,41.0 (over),Drew Bledsoe,Kevin Faulk,Terry Glenn,Rod Rutledge,Bruce Armstrong,,Damien Woody,Sale Isaia,Adrian Klemm,,,Chad Eaton,,Chris Slade,Ted Johnson,Tedy Bruschi,Ty Law,Otis Smith,Lawyer Milloy,Tebucky Jones,Elvis Grbac,Kimble Anders,Sylvester Morris,Tony Gonzalez,John Tait,Jeff Blackshear,Tim Grunhard,Will Shields,Victor Riley,Eric Hicks,Chester McGlockton,John Browning,Duane Clemons,,Marvcus Patton,,Pat Dennis,James Hasty,Greg Wesley,Jerome Woods,18,24,19-68-0,31-105-1,25-46-350-3-1,33-48-282-2-0,0-0,3-19,350,263,418,368,2-2,1-1,3,1,7-40,5-65,6-15,6-17,0-0,2-2,23:18,36:42,,,Mike Maslowski,Donnie Edwards,,,,,,,,Tony Richardson,,,Willie McGinest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joe Andruzzi,,,,,,,,,,,,,,,Brandon Mitchell,,,,,,,,,,,,,,,,,,,,,
203,December 10,15,2000,81,Kansas City Chiefs,Carolina Panthers,15,14,Gunther Cunningham,George Seifert,6-8,6-8,outdoors,grass,Kansas City Chiefs -2.5,42.0 (under),Elvis Grbac,,Sylvester Morris,Tony Gonzalez,Will Shields,Jeff Blackshear,Tim Grunhard,Donald Willis,Victor Riley,Eric Hicks,,,Duane Clemons,,Marvcus Patton,,Pat Dennis,,Greg Wesley,Jerome Woods,Steve Beuerlein,Brad Hoover,Muhsin Muhammad,Kris Mangum,Clarence Jones,Matt Campbell,Frank Garcia,Jamar Nesbit,Chris Terry,Reggie White,Tim Morabito,Sean Gilbert,Jay Williams,Dean Wells,Lester Towns,Lee Woodall,Eric Davis,Doug Evans,Mike Minter,Eugene Robinson,21,26,16-23-1,26-138-0,23-31-252-1-1,31-44-315-1-2,6-18,0-0,234,315,257,453,0-0,2-2,1,4,5-47,5-35,2-8,6-10,0-0,0-0,27:54,32:06,,,,,Donnell Bennett,,Chester McGlockton,,John Browning,Donnie Edwards,,Chris Hetherington,,,,,,,,,,,,,,,James Hasty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,December 10,15,2000,81,Chicago Bears,New England Patriots,24,17,Dick Jauron,Bill Belichick,4-10,4-10,outdoors,grass,Chicago Bears -2.0,36.5 (over),Shane Matthews,James Allen,Marty Booker,Dustin Lyman,Blake Brockermeyer,Todd Perry,Casey Wiegmann,Chris Villarrial,James Williams,Bryan Robinson,,,Phillip Daniels,,Brian Urlacher,Sean Harris,Jerry Azumah,Thomas Smith,Tony Parrish,Mike Brown,Drew Bledsoe,J.R. Redmond,Troy Brown,Rod Rutledge,Bruce Armstrong,Adrian Klemm,Damien Woody,Sale Isaia,Greg Randall,,,,,Chris Slade,Ted Johnson,Tedy Bruschi,Ty Law,Otis Smith,Lawyer Milloy,Tebucky Jones,15,21,12-38-0,39-102-1,25-46-225-2-0,22-27-239-2-0,3-18,1-2,207,237,245,339,1-0,1-1,0,1,7-60,3-35,5-14,4-12,1-2,1-1,22:50,37:10,,Willie McGinest,,,,,Jim Flanigan,,Clyde Simmons,,,,,,,,,,,,,,,,,Garrett Johnson,R.W. McQuarters,,,,,,,,,,,,,,,,,,,,,,,Chad Eaton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,December 10,15,2000,81,Baltimore Ravens,San Diego Chargers,24,3,Brian Billick,Mike Riley,10-4,1-13,outdoors,grass,Baltimore Ravens -13.5,36.5 (under),Trent Dilfer,Jamal Lewis,Patrick Johnson,Shannon Sharpe,Jonathan Ogden,Edwin Mulitalo,Jeff Mitchell,Mike Flynn,Spencer Folau,Rob Burnett,,,Michael McCrary,,Ray Lewis,,Chris McAlister,Duane Starks,Kim Herring,Rod Woodson,Ryan Leaf,Terrell Fletcher,Trevor Gaylor,Freddie Jones,,,Roman Fortin,,,Albert Fontenot,Jamal Williams,John Parrella,Darren Mickell,Gerald Dixon,,Junior Seau,Fakhir Brown,DeRon Jenkins,Rodney Harrison,,9,19,26-64-0,40-110-1,9-23-78-0-1,16-24-187-2-2,2-14,3-21,64,166,128,276,5-4,2-1,5,3,4-20,3-15,4-12,11-16,1-2,0-0,22:24,37:36,,,,,Sam Gash,,Sam Adams,Peter Boulware,Tony Siragusa,Jamie Sharper,,Fred McCrary,Orlando Ruff,Rogers Beckett,,,,,,,,,,,,,,,,,,,,,,,,,DeMingo Graham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,December 10,15,2000,81,Green Bay Packers,Detroit Lions,26,13,Mike Sherman,Gary Moeller,7-7,8-6,outdoors,grass,Green Bay Packers -3.5,41.0 (under),Brett Favre,Ahman Green,Antonio Freeman,Tyrone Davis,Chad Clifton,Ross Verba,Frank Winters,Marco Rivera,Mark Tauscher,Vonnie Holliday,,Russell Maryland,John Thierry,,Bernardo Harris,Nate Wayne,Mike McKenzie,Tyrone Williams,LeRoy Butler,Darren Sharper,Charlie Batch,James Stewart,Johnnie Morton,David Sloan,Stockar McDougle,Tony Semple,Mike Compton,Jeff Hartings,Barrett Brooks,Robert Porcher,,,Tracy Scroggins,Allen Aldridge,Stephen Boyd,Chris Claiborne,Lamar Campbell,Terry Fair,Ron Rice,Corwin Brown,15,16,31-103-1,32-128-1,17-33-190-0-3,15-36-208-1-1,0-0,2-6,190,202,293,330,2-2,3-1,5,2,3-30,2-11,4-16,8-18,1-2,0-1,28:46,31:14,,,,,William Henderson,,,,,,,,,,,,,,,,,,,,Antuan Edwards,James Jones,,,,,,Cletidus Hunt,,,,,,,,,,,,,,,,,,,,,,,,,,Luther Elliss,,,,,,,,,,,,,,,,,,,,,,
207,December 10,15,2000,81,Jacksonville Jaguars,Arizona Cardinals,44,10,Tom Coughlin,Vince Tobin,7-7,3-11,outdoors,grass,Jacksonville Jaguars -15.0,42.0 (over),Mark Brunell,Anthony Johnson,Keenan McCardell,Kyle Brady,Tony Boselli,Brad Meester,Jeff Smith,Brendan Stai,Todd Fordham,,,,Tony Brackens,,,Kevin Hardy,Jason Craft,Aaron Beasley,Donovin Darius,Rayna Stewart,Dave Brown,Michael Pittman,Frank Sanders,Terry Hardy,L.J. Shelton,Matt Joyce,Chris Dishman,Lester Holmes,Anthony Clement,Andre Wadsworth,Mark Smith,Mao Tosi,Simeon Rice,,Ronald McKinnon,,Aeneas Williams,Tom Knight,Pat Tillman,Kwamie Lassiter,11,25,19-40-0,45-214-2,15-26-181-1-1,15-21-255-3-0,4-32,0-0,149,255,189,469,0-0,0-0,1,0,4-53,2-15,6-13,5-12,0-0,2-2,25:04,34:56,,,James Folston,Rob Fredrickson,,,,,Seth Payne,,,,,,Renaldo Wynn,,,,,,,,,,Mike Logan,,,,,,,Gary Walker,,,,,,,,,,,,,,,Brant Boyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,December 10,15,2000,81,Miami Dolphins,Tampa Bay Buccaneers,13,16,Dave Wannstedt,Tony Dungy,10-4,9-5,outdoors,grass,Miami Dolphins -2.5,34.5 (under),Jay Fiedler,Lamar Smith,Tony Martin,Hunter Goodwin,Richmond Webb,Mark Dixon,Tim Ruddy,Kevin Donnalley,Todd Wade,Kenny Mixon,,,Jason Taylor,Robert Jones,Zach Thomas,Derrick Rodgers,Patrick Surtain,Sam Madison,Brian Walker,Brock Marion,Shaun King,Warrick Dunn,Keyshawn Johnson,Dave Moore,Pete Pierson,Randall McDaniel,Jeff Christy,Frank Middleton,Jerry Wunsch,Chidi Ahanotu,,,Marcus Jones,Shelton Quarles,Jamie Duncan,Derrick Brooks,Donnie Abraham,Ronde Barber,John Lynch,Damien Robinson,14,17,38-100-0,27-84-1,11-15-147-0-1,13-28-175-0-4,4-26,1-5,121,170,221,254,1-0,1-1,1,5,7-63,6-46,4-13,3-9,0-0,0-0,31:50,28:10,,,,,Rob Konrad,,Tim Bowens,,Daryl Gardener,,Warren Sapp,Charles Kirby,,,,,,,,,,,,,,Anthony McFarland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,December 10,15,2000,81,New York Giants,Pittsburgh Steelers,30,10,Jim Fassel,Bill Cowher,10-4,7-7,outdoors,grass,New York Giants -3.5,35.5 (over),Kerry Collins,Tiki Barber,Ike Hilliard,Dan Campbell,Lomas Brown,Glenn Parker,Dusty Zeigler,Ron Stone,Luke Petitgout,Michael Strahan,,,Cedric Jones,,Micheal Barrow,,Dave Thomas,Jason Sehorn,Sam Garnes,Shaun Williams,Kordell Stewart,,,Mark Bruener,Wayne Gandy,Alan Faneca,Roger Duffy,Rich Tylski,Marvel Smith,,,,,,,,Chad Scott,Dewayne Washington,Lee Flowers,Brent Alexander,17,20,20-47-0,26-68-1,20-34-224-1-1,24-35-333-2-0,2-7,1-7,217,326,264,394,0-0,0-0,1,0,5-42,6-91,5-13,9-14,0-2,0-1,27:46,32:14,,Kevin Henry,,,,,Christian Peter,Ryan Phillips,Keith Hamilton,Jessie Armstead,,Dan Kreider,,,,,,,,,,,,,,Kimo von Oelhoffen,,,,,,,,Levon Kirkland,Jason Gildon,Earl Holmes,Joey Porter,,,,,,,,,Jerome Bettis,,,,,,,,,,,,,,,,,,,,,,,,,,,Hines Ward,Courtney Hawkins,,,,,,
210,December 10,15,2000,81,Tennessee Titans,Cincinnati Bengals,35,3,Jeff Fisher,Dick LeBeau,11-3,3-11,outdoors,grass,Tennessee Titans -13.0,36.0 (over),Steve McNair,Eddie George,Chris Sanders,Frank Wycheck,Brad Hopkins,Bruce Matthews,Kevin Long,Benji Olson,Fred Miller,Jevon Kearse,,,,,Randall Godfrey,,Denard Walker,Samari Rolle,Blaine Bishop,Bobby Myers,Scott Mitchell,,Craig Yeast,Marco Battaglia,Rod Jones,Scott Rehberg,Rich Braham,Mike Goff,Willie Anderson,,Oliver Gibson,John Copeland,Michael Bankston,,Adrian Ross,,Robert Bean,,Chris Carter,Darryl Williams,9,21,25-60-0,36-112-1,12-26-131-0-0,23-33-345-4-0,4-20,2-14,111,331,171,443,0-0,4-1,0,1,4-34,7-39,3-15,10-18,0-2,0-0,25:12,34:48,,Jevon Langford,Steve Foley,Takeo Spikes,,,John Thornton,,Jason Fisk,Eddie Robinson,,,,,,,,,,,,,,Tom Carter,,,,,,,,Henry Ford,,,,,,,,,,,,,,Corey Dillon,Greg Favors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,December 10,15,2000,81,Cleveland Browns,Philadelphia Eagles,24,35,Chris Palmer,Andy Reid,3-12,10-5,outdoors,grass,Philadelphia Eagles -14.0,35.5 (over),Doug Pederson,Travis Prentice,David Patten,Mark Campbell,Roman Oben,Steve Zahursky,Shaun O'Hara,Everett Lindsay,James Brown,Courtney Brown,,,Keith McKenzie,Jamir Miller,Wali Rainer,,Corey Fuller,Daylon McCutcheon,Marquis Smith,Percy Ellsworth,Donovan McNabb,Darnell Autry,Charles Johnson,Jeff Thomason,Tra Thomas,John Welbourn,Bubba Miller,Jermane Mayberry,Jon Runyan,Brandon Whiting,Corey Simon,Hollis Thomas,Hugh Douglas,Carlos Emmons,Jeremiah Trotter,Barry Gardner,Troy Vincent,Bobby Taylor,Damon Moore,Brian Dawkins,23,25,15-41-1,30-101-2,23-36-390-4-0,30-43-332-1-3,5-40,3-15,350,317,391,418,2-2,6-1,2,4,4-21,6-55,6-10,8-15,0-0,3-3,25:43,34:17,,,,,,,Orpheus Roye,,Stalin Colinet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darius Holland,,,,,
212,December 10,15,2000,81,Denver Broncos,Seattle Seahawks,31,24,Mike Shanahan,Mike Holmgren,10-4,5-9,outdoors,grass,Denver Broncos -10.0,48.0 (over),Gus Frerotte,Mike Anderson,Rod Smith,Dwayne Carswell,Tony Jones,Lennie Friedman,Tom Nalen,Dan Neil,Matt Lepsis,Maa Tanuvasa,,,Kavika Pittman,Bill Romanowski,Al Wilson,,Jimmy Spencer,Terrell Buckley,Billy Jenkins,Eric Brown,Jon Kitna,Ricky Watters,Sean Dawkins,Itula Mili,Walter Jones,Pete Kendall,Chris Gray,Floyd Wedderburn,Chris McIntosh,Michael Sinclair,Riddick Parker,Cortez Kennedy,Lamar King,,George Koonce,,Shawn Springs,Willie Williams,Kerry Joseph,Jay Bellamy,22,20,26-107-0,36-131-2,26-41-298-3-3,14-25-201-1-1,0-0,1-19,298,182,405,313,3-1,3-0,4,1,4-38,2-15,8-13,4-10,0-0,0-1,31:28,28:32,,,,,Howard Griffith,,Keith Traylor,,Trevor Pryce,,,Mack Strong,,,,,,,,,,,,,,,,,,,,,,,Anthony Simmons,,Chad Brown,,,,,,,,,,John Mobley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,December 10,15,2000,81,San Francisco 49ers,New Orleans Saints,27,31,Steve Mariucci,Jim Haslett,5-9,9-5,outdoors,grass,San Francisco 49ers -3.0,47.5 (over),Jeff Garcia,Charlie Garner,Jerry Rice,Greg Clark,Derrick Deese,Ray Brown,Jeremy Newberry,Dave Fiore,Scott Gragg,Anthony Pleasant,,,John Engelberger,,,,Ahmed Plummer,Jason Webster,,Zack Bronson,Aaron Brooks,Terry Allen,Willie Jackson,Andrew Glover,Willie Roaf,Wally Williams,Jerry Fontenot,Chris Naeole,Kyle Turley,Darren Howard,Willie Whitehead,La'Roi Glover,Joe Johnson,,Darrin Smith,,Alex Molden,Kevin Mathis,Sammy Knight,Darren Perry,21,21,38-216-1,21-110-2,12-29-203-2-0,25-38-305-2-2,5-31,2-17,172,288,388,398,1-0,1-1,0,3,1-5,2-15,6-15,5-11,1-1,0-1,32:46,27:14,,,Keith Mitchell,Mark Fields,Fred Beasley,,Bryant Young,,Brentson Buckner,,,,,,,,,Ken Norton Jr.,Julian Peterson,,Winfred Tubbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ronnie Heard,,,,,,,,,,,,,,
214,December 10,15,2000,81,Dallas Cowboys,Washington Redskins,32,13,Dave Campo,Terry Robiskie,5-9,7-7,outdoors,astroturf,Washington Redskins -6.0,39.0 (over),Troy Aikman,Emmitt Smith,James McKnight,David LaFleur,Flozell Adams,Larry Allen,Ben Fricke,Solomon Page,Erik Williams,Alonzo Spellman,,,Greg Ellis,Darren Hambrick,Barron Wortham,Dexter Coakley,Phillippi Sparks,Ryan McNeil,Greg Myers,Izell Reese,Jeff George,Stephen Davis,James Thrash,Stephen Alexander,Chris Samuels,Keith Sims,Mark Fischer,Jay Leeuwenburg,Jon Jansen,Marco Coleman,Dan Wilkinson,Nolan Harrison,Bruce Smith,LaVar Arrington,Derek Smith,Shawn Barber,Champ Bailey,Deion Sanders,Sam Shade,Mark Carrier,17,19,22-79-1,43-242-3,19-33-235-1-1,5-8-89-0-0,5-44,3-17,191,72,270,314,2-1,1-0,2,0,11-121,6-35,2-10,2-10,0-2,0-0,29:00,31:00,,,,,Robert Thomas,,Michael Myers,,Brandon Noble,,,Mike Sellers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,December 10,15,2000,81,St. Louis Rams,Minnesota Vikings,40,29,Mike Martz,Dennis Green,9-5,11-3,dome,astroturf,St. Louis Rams -3.5,56.5 (over),Kurt Warner,Marshall Faulk,Isaac Bruce,Roland Williams,Orlando Pace,Tom Nutten,Andy McCollum,Adam Timmerman,Ryan Tucker,Kevin Carter,,,Ray Agnew,,London Fletcher,,Todd Lyght,Dexter McCleon,Devin Bush Sr.,Keith Lyle,Daunte Culpepper,Robert Smith,Randy Moss,Johnny McWilliams,Todd Steussie,Corbin Lacina,Matt Birk,David Dixon,Korey Stringer,John Randle,,,Talance Sawyer,Lemanski Hall,Kailee Wong,Ed McDaniel,Kenny Wright,Robert Tate,Robert Griffith,Tyrone Carter,23,32,19-104-1,34-162-5,21-33-221-3-0,27-32-346-0-0,4-13,0-0,208,346,312,508,1-0,0-0,0,0,7-60,7-43,4-10,7-10,0-0,0-0,25:36,34:24,,Gabe Northern,,,,,Grant Wistrom,Mike Jones,,,,,,,,,,,,,,,,,,Chris Hovan,Dre' Bly,,,,,Jeff Zgonina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,December 10,15,2000,81,Oakland Raiders,New York Jets,31,7,Jon Gruden,Al Groh,11-3,9-5,outdoors,grass,Oakland Raiders -3.5,47.0 (under),Rich Gannon,Jon Ritchie,James Jett,Rickey Dudley,Barry Sims,Steve Wisniewski,Barret Robbins,Mo Collins,Lincoln Kennedy,,,,,,Greg Biekert,,,,Marquez Pope,Anthony Dorsett,Vinny Testaverde,Curtis Martin,Dedric Ward,Anthony Becht,Jason Fabini,Kerry Jenkins,Kevin Mawae,Randy Thomas,Ryan Young,,,,,,,,,,Victor Green,Chris Hayes,14,17,20-10-0,38-180-1,22-44-315-1-4,11-23-161-2-1,5-25,2-11,290,150,300,330,0-0,1-0,4,1,6-27,7-60,6-18,5-13,1-2,0-0,28:19,31:41,,Rick Lyle,,,,,,,,,Ernie Logan,Richie Anderson,James Farrior,,Regan Upshaw,,,,,,,,,Aaron Glenn,,,Charles Woodson,William Thomas,,Bryan Cox,Marvin Jones,Grady Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,December 11,15,2000,81,Indianapolis Colts,Buffalo Bills,44,20,Jim Mora,Wade Phillips,8-6,7-7,dome,astroturf,Indianapolis Colts -6.0,45.0 (over),Peyton Manning,Edgerrin James,Marvin Harrison,Marcus Pollard,Tarik Glenn,Steve McKinney,Jeff Saturday,Larry Moore,Adam Meadows,,,,Chad Bratzke,,,,Jeff Burris,Mustafah Muhammad,Chad Cota,Jason Belser,Rob Johnson,Shawn Bryson,Eric Moulds,Jay Riemersma,Marcus Spriggs,Ruben Brown,Jerry Ostroski,Jamie Nails,Robert Hicks,Pat Williams,,,Marcellus Wiley,,,,Chris Watson,Ken Irvin,Henry Jones,Travares Tillman,16,20,22-66-1,32-121-3,18-34-270-1-2,13-24-132-0-0,9-42,2-16,228,116,294,237,1-1,2-0,3,0,10-106,7-67,5-17,5-12,2-2,0-0,31:52,28:08,,,,,,,Bernard Whittington,,Ellis Johnson,Mike Peterson,,,,,Mark Thomas,,,,,,,,,,Tony Blevins,Ted Washington,,,,,,,,John Holecek,Keith Newman,Kenyatta Wright,Corey Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,December 16,16,2000,81,Pittsburgh Steelers,Washington Redskins,24,3,Bill Cowher,Terry Robiskie,8-7,7-8,outdoors,astroturf,Washington Redskins -1.0,37.5 (under),Kordell Stewart,Jerome Bettis,Courtney Hawkins,Mark Bruener,Wayne Gandy,Alan Faneca,Roger Duffy,Rich Tylski,Marvel Smith,,,Kimo von Oelhoffen,,,,,Chad Scott,Dewayne Washington,Lee Flowers,Brent Alexander,Jeff George,Stephen Davis,Irving Fryar,Stephen Alexander,Chris Samuels,Andy Heck,Mark Fischer,Jay Leeuwenburg,Jon Jansen,Marco Coleman,Dan Wilkinson,Nolan Harrison,Bruce Smith,LaVar Arrington,Derek Smith,Shawn Barber,Champ Bailey,Deion Sanders,Sam Shade,Mark Carrier,14,21,21-64-0,45-200-2,18-32-231-0-2,11-21-175-0-0,3-24,1-1,207,174,271,374,3-3,4-1,5,1,7-70,6-40,3-12,5-14,0-1,1-2,24:53,35:07,,,,,Dan Kreider,,,,,,,Larry Centers,,,Kevin Henry,,,Levon Kirkland,Jason Gildon,,Earl Holmes,Joey Porter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
